lat,long,date
53.590174371675424,19.219465674682624,2014-12-12
53.6034944933739,19.331388892456058,2015-04-07
50.79268728891717,16.727499961853027,2015-05-17
51.21957226327192,16.448936462402347,2007-09-21
51.42741724278695,16.234359741210938,2014-06-13
52.69225156257075,18.298115730285645,2014-01-21
54.025222276128474,22.226178646087646,2015-07-23
52.24292507357242,21.173057975097663,2015-05-22
53.9299990230435,20.55608552865601,2015-08-09
52.16589188505855,16.800922751426693,2015-08-11
54.11447430889506,16.998982429504395,2015-08-14
54.245377998367786,17.098031044006348,2015-08-18
52.243135294715785,21.17237132958985,2015-04-21
50.93284770414657,16.308989524841312,2015-09-16
54.43712316525897,18.487986624240875,2015-09-15
53.862233752192594,20.70648235253907,2015-09-21
51.21212331155146,19.48607951402664,2015-09-17
53.691205438879365,20.03829044274903,2015-10-03
53.51132635424766,18.930226564407352,2015-10-08
50.948153544355065,16.753592491149902,2015-10-26
51.205216376897575,17.336018085479733,2015-10-22
53.6797177574174,22.604027213378917,2015-11-11
54.110404406533654,16.993736028671265,2015-11-20
54.1145516426054,16.999072283506393,2015-11-21
54.52389972328015,17.058669626712803,2015-12-29
54.626929622581045,17.023910880088803,2016-01-15
52.99657874787552,16.869136691093445,2016-03-12
54.52177385998517,17.05900490283966,2016-03-24
50.082139735788466,20.82369714975357,2016-04-03
52.38650557294135,21.030328924243804,2016-03-22
54.465398633635864,18.554749488830566,2016-04-13
54.12924140006389,21.46651309899903,2016-04-18
50.07289630509783,20.777490735054016,2016-05-02
51.023818076329825,16.574694158043712,2015-08-02
50.336909239039485,18.57476413249969,2016-05-25
54.592730453810006,17.094646096229553,2016-05-30
52.465422868400594,15.726349353790285,2016-05-28
50.337801775743905,18.57243061065674,2016-05-25
54.54379379956873,17.067829370498654,2016-06-06
54.59910653058801,17.057143449783325,2016-06-08
54.600058019954325,17.054791152477268,2016-06-08
53.713968217637046,20.505295218750007,2016-06-17
50.843974854877615,17.880667448289387,2016-06-18
51.18464760440187,16.98261022567749,2016-09-04
51.82608436065749,16.494847727044544,2016-09-26
51.537383725714044,15.867053961701458,2016-09-26
54.36963829181876,19.406425952911373,2016-10-03
52.78234120475845,14.410808980464935,2016-10-24
52.78395376054815,14.42604124546051,2016-10-28
54.63058961987746,17.146013081073757,2016-11-14
52.46328131610524,16.933590173721313,2016-11-15
54.60040472079487,17.053757906105602,2016-12-07
52.82108440481951,20.262093544006348,2016-12-29
52.131539182592064,16.81496658369724,2017-01-10
51.17668982119966,16.534868718590587,2016-03-16
51.239942409364694,17.461239339318126,2016-04-26
52.92077035203101,16.54236048460007,2017-02-01
52.47367134049938,17.223957967653405,2017-02-11
52.43587070983223,16.85875654220581,2017-03-02
54.43157400427036,16.890331506729126,2017-03-04
50.952168464889795,16.345596313476562,2017-03-05
53.58671914975835,17.200659012742108,2017-03-25
54.67280229553792,18.083533644676212,2017-04-09
54.60489845094677,17.117077302827965,2017-04-11
51.18005253978753,15.26048183441162,2017-03-28
52.224349160513924,21.20558738708496,2017-04-24
51.03146294308033,16.889290809631348,2017-05-13
51.157734828649886,17.142641544342037,2017-05-16
52.665881639916925,21.081615686416626,2017-05-29
52.13091957652218,21.122747897316003,2017-06-18
51.298202700720644,17.055453658103946,2017-06-26
51.21301572040228,15.039328336715698,2017-07-01
54.625114834281,17.140839099884033,2017-07-04
52.12891719129078,16.608884525276153,2017-07-15
52.166848052172824,16.803890562168814,2017-07-21
53.71014539283721,19.976942539215084,2017-07-20
53.83272614657599,20.22902083357621,2017-07-20
54.36444567322231,18.217192411029828,2017-07-21
54.349390959711705,17.581129493042,2017-07-22
50.215145432117,19.05894041061401,2017-08-26
52.04120965957406,21.368644237518307,2017-08-27
52.15767373268885,21.17593288421631,2017-09-17
49.80039455713521,19.036613702774048,2017-09-27
49.80056075572878,19.033872485160828,2017-09-27
54.695451683262384,17.985306205078132,2017-09-12
49.80048458144421,19.034548401832577,2017-10-07
52.43974516035325,16.898431777954098,2017-10-17
54.601096495015014,17.052149176597595,2017-10-20
49.823781398709144,19.086545705795288,2017-10-19
49.830647146414,19.011749625205997,2017-10-26
50.04154144000049,18.196663856506348,2017-11-03
50.396771662292345,18.51330399513245,2017-11-03
52.42406065982222,16.965065896511078,2017-11-10
54.644613260687564,17.029516696929928,2017-11-23
50.514634082556995,17.91845977306366,2017-11-25
49.735555705834955,21.7106956243515,2017-12-19
54.338894619872896,18.553807496828085,2017-12-19
54.60093871524671,17.052517176198307,2017-10-25
54.36700971811911,18.590945363175702,2018-01-11
50.916743416641026,23.173252701726604,2017-11-16
54.25850324040225,17.102975696325302,2018-01-23
52.42907043774619,16.995809795185096,2017-12-05
51.42701662043825,19.714503531883334,2018-03-15
53.71310714243306,20.62925134948944,2018-04-01
54.50863367844257,17.062017821430462,2018-04-09
51.34614833229524,21.036930503173835,2018-04-07
50.448283418492025,18.060606225765355,2018-04-15
54.53352149606763,17.06777614526368,2018-05-02
52.12921234066378,20.70526087485712,2018-06-15
52.156838408752755,21.178325871667088,2018-07-05
54.56617627969375,17.079188702937472,2018-07-10
53.78889025479126,17.435763175571196,2018-07-19
52.431153139700896,21.038735724876343,2018-07-20
52.33524272938177,21.2711012146583,2018-08-04
54.36624696682722,18.49860200544777,2018-08-18
52.556009038926796,19.55787346372267,2018-09-15
51.68608272254951,20.971119822784427,2018-09-15
52.14240278679251,20.77343446520229,2018-10-02
54.38447801964535,18.503609998086176,2018-11-01
51.1596534937884,17.149696462419797,2018-12-18
51.16342595527726,16.669089282288038,2019-02-16
